High,Low,Medium
7733.333333,4422.222222,4166.666667
7955.555556,6144.444444,4888.888889
8766.666667,6433.333333,5311.111111
8766.666667,6744.444444,5422.222222
9366.666667,6866.666667,5722.222222
9455.555556,7466.666667,5788.888889
,,6100
,,6677.777778
,,6711.111111
,,6777.777778
,,7022.222222
,,7044.444444
,,7500
,,7888.888889
,,8355.555556
